#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-11-10 18:09:56.555
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 800 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0012385139123102882,-2.571913317269833,-0.019254799863233748
-0.0012360139123102874,-2.571913317269833,-0.021283878991032807
-0.0012335139123102867,-2.5682533417170799,-0.017902080444700732
-0.0012310139123102876,-2.5682533417170799,-0.017225720735434689
-0.0012285139123102869,-2.5682533417170799,-0.016887540880801515
-0.0012260139123102878,-2.571913317269833,-0.016549361026168337
-0.0012235139123102871,-2.571913317269833,-0.014858461753002455
-0.001221013912310288,-2.5682533417170816,-0.018240260299332681
-0.0012185139123102873,-2.5682533417170799,-0.015196641607635631
-0.0012160139123102865,-2.5682533417170816,-0.017225720735436535
-0.0012135139123102875,-2.571913317269833,-0.021283878991032807
-0.0012110139123102867,-2.5719133172698312,-0.019592979717867234
-0.0012085139123102877,-2.5682533417170799,-0.020269339427133277
-0.0012060139123102869,-2.571913317269833,-0.017563900590067866
-0.0012035139123102879,-2.5682533417170799,-0.017225720735434689
-0.0012010139123102871,-2.571913317269833,-0.015534821462268807
-0.0011985139123102881,-2.5682533417170816,-0.017225720735433919
-0.0011960139123102873,-2.5682533417170799,-0.015196641607635631
-0.0011935139123102866,-2.5682533417170816,-0.016211181171536544
-0.0011910139123102875,-2.571913317269833,-0.019254799863233748
-0.0011885139123102868,-2.5682533417170816,-0.016549361026170335
-0.0011860139123102877,-2.571913317269833,-0.020945699136399629
-0.001183513912310287,-2.571913317269833,-0.018240260299334218
-0.0011810139123102879,-2.5682533417170816,-0.01722572073543515
-0.0011785139123102872,-2.571913317269833,-0.018240260299334218
-0.0011760139123102881,-2.5682533417170816,-0.014520281898370969
-0.0011735139123102874,-2.5682533417170799,-0.016887540880801515
-0.0011710139123102866,-2.5755732928225838,-0.016549361026168798
-0.0011685139123102876,-2.571913317269833,-0.017563900590067866
-0.0011660139123102868,-2.5682533417170799,-0.017902080444701041
-0.0011635139123102878,-2.5682533417170799,-0.01891662000860057
-0.001161013912310287,-2.5682533417170799,-0.022636598409565511
-0.001158513912310288,-2.5682533417170799,-0.01959297971786831
-0.0011560139123102872,-2.5682533417170799,-0.019254799863233748
-0.0011535139123102882,-2.5682533417170799,-0.017902080444701655
-0.0011510139123102874,-2.5682533417170799,-0.018240260299334218
-0.0011485139123102867,-2.571913317269833,-0.0155348214622685
-0.0011460139123102876,-2.571913317269833,-0.014858461753002455
-0.0011435139123102869,-2.5682533417170799,-0.015196641607635631
-0.0011410139123102878,-2.5682533417170799,-0.015196641607635631
-0.0011385139123102871,-2.571913317269833,-0.017902080444701041
-0.001136013912310288,-2.571913317269833,-0.020269339427132202
-0.0011335139123102873,-2.571913317269833,-0.018578440153967396
-0.0011310139123102865,-2.5719133172698312,-0.018240260299333448
-0.0011285139123102875,-2.5682533417170799,-0.016549361026168337
-0.0011260139123102867,-2.5682533417170799,-0.017902080444700732
-0.0011235139123102877,-2.5682533417170799,-0.017225720735434689
-0.0011210139123102869,-2.5682533417170799,-0.015873001316901985
-0.0011185139123102879,-2.571913317269833,-0.015873001316901985
-0.0011160139123102871,-2.5682533417170799,-0.017902080444701041
-0.0011135139123102881,-2.5719133172698312,-0.018240260299334066
-0.0011110139123102873,-2.5755732928225856,-0.020945699136399629
-0.0011085139123102866,-2.5719133172698312,-0.020607519281766455
-0.0011060139123102875,-2.5682533417170799,-0.020607519281766455
-0.0011035139123102868,-2.5682533417170816,-0.01959297971786508
-0.0011010139123102877,-2.571913317269833,-0.015534821462268807
-0.001098513912310287,-2.571913317269833,-0.017902080444701041
-0.0010960139123102879,-2.571913317269833,-0.013843922189104772
-0.0010935139123102872,-2.571913317269833,-0.016211181171535159
-0.0010910139123102881,-2.5682533417170816,-0.017225720735434227
-0.0010885139123102874,-2.5682533417170799,-0.016549361026168337
-0.0010860139123102866,-2.5719133172698299,-0.021283878991032498
-0.0010835139123102876,-2.5645933661643272,-0.020607519281766455
-0.0010810139123102868,-2.571913317269833,-0.021283878991032807
-0.0010785139123102878,-2.571913317269833,-0.019254799863233748
-0.001076013912310287,-2.5682533417170799,-0.016549361026168337
-0.001073513912310288,-2.5682533417170799,-0.017563900590067405
-0.0010710139123102872,-2.5682533417170799,-0.014520281898369278
-0.0010685139123102882,-2.5682533417170799,-0.013505742334470211
-0.0010660139123102874,-2.5682533417170799,-0.014182102043736102
-0.0010635139123102866,-2.5682533417170816,-0.016887540880801976
-0.0010610139123102876,-2.571913317269833,-0.017902080444701041
-0.0010585139123102869,-2.571913317269833,-0.01891662000860057
-0.0010560139123102878,-2.571913317269833,-0.019592979717866926
-0.0010535139123102871,-2.571913317269833,-0.020607519281766455
-0.001051013912310288,-2.571913317269833,-0.018578440153968319
-0.0010485139123102873,-2.5755732928225856,-0.017225720735434689
-0.0010460139123102865,-2.5755732928225825,-0.016887540880799978
-0.0010435139123102875,-2.5682533417170799,-0.01350574233446975
-0.0010410139123102867,-2.5682533417170781,-0.015196641607635477
-0.0010385139123102877,-2.5645933661643272,-0.014858461753002455
-0.0010360139123102869,-2.571913317269833,-0.018578440153967396
-0.0010335139123102879,-2.571913317269833,-0.017902080444701041
-0.0010310139123102871,-2.5682533417170799,-0.021622058845665981
-0.0010285139123102881,-2.5682533417170799,-0.02128387899103296
-0.0010260139123102873,-2.5682533417170799,-0.020607519281766455
-0.0010235139123102865,-2.5719133172698299,-0.019254799863231441
-0.0010210139123102875,-2.5645933661643272,-0.014182102043736102
-0.0010185139123102867,-2.5682533417170781,-0.0145202818983682
-0.0010160139123102877,-2.5645933661643272,-0.012153022915937044
-0.001013513912310287,-2.5682533417170799,-0.012829382625203396
-0.0010110139123102879,-2.5682533417170799,-0.020945699136399629
-0.0010085139123102872,-2.571913317269833,-0.019254799863233748
-0.0010060139123102881,-2.571913317269833,-0.022298418554930952
-0.0010035139123102874,-2.571913317269833,-0.019592979717866926
-0.0010010139123102866,-2.571913317269833,-0.019592979717866617
-0.00099851391231028756,-2.571913317269833,-0.01891662000860057
-0.0009960139123102868,-2.5682533417170799,-0.015196641607635631
-0.00099351391231028777,-2.5645933661643272,-0.013167562479836574
-0.000991013912310287,-2.5682533417170799,-0.013843922189102926
-0.00098851391231028797,-2.5682533417170799,-0.013505742334469904
