#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-11-10 13:24:48.761
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 2.8 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 1.2 V/div Offset: 0 V

Time (s),Channel 1 (V)
-9.3467365728900308e-05,-0.053850136975886413
-9.3327365728900272e-05,-0.057510112528639246
-9.3187365728900236e-05,-0.057510112528639246
-9.3047365728900309e-05,-0.057510112528639246
-9.2907365728900273e-05,-0.053850136975886413
-9.2767365728900237e-05,-0.057510112528639246
-9.2627365728900309e-05,-0.057510112528639246
-9.2487365728900273e-05,-0.057510112528639246
-9.2347365728900237e-05,-0.053850136975888079
-9.220736572890031e-05,-0.057510112528639246
-9.2067365728900274e-05,-0.057510112528639246
-9.1927365728900238e-05,-0.053850136975886413
-9.178736572890031e-05,-0.053850136975886413
-9.1647365728900275e-05,-0.053850136975886413
-9.1507365728900239e-05,-0.053850136975886413
-9.1367365728900311e-05,-0.053850136975886413
-9.1227365728900275e-05,-0.057510112528639246
-9.1087365728900239e-05,-0.053850136975884748
-9.0947365728900312e-05,-0.050190161423135246
-9.0807365728900276e-05,-0.050190161423133581
-9.066736572890024e-05,-0.053850136975888079
-9.0527365728900312e-05,-0.05751011252863758
-9.0387365728900276e-05,-0.053850136975886413
-9.024736572890024e-05,-0.053850136975886413
-9.0107365728900313e-05,-0.053850136975886413
-8.9967365728900277e-05,-0.050190161423133581
-8.9827365728900241e-05,-0.050190161423131915
-8.9687365728900314e-05,-0.046530185870382421
-8.9547365728900278e-05,-0.046530185870380755
-8.9407365728900242e-05,-0.050190161423133581
-8.9267365728900314e-05,-0.050190161423133581
-8.9127365728900278e-05,-0.050190161423133581
-8.8987365728900242e-05,-0.046530185870380755
-8.8847365728900315e-05,-0.046530185870380755
-8.8707365728900279e-05,-0.050190161423133581
-8.8567365728900243e-05,-0.050190161423131915
-8.8427365728900315e-05,-0.046530185870382421
-8.828736572890028e-05,-0.050190161423133581
-8.8147365728900244e-05,-0.050190161423133581
-8.8007365728900316e-05,-0.050190161423133581
-8.786736572890028e-05,-0.057510112528639246
-8.7727365728900244e-05,-0.039210234764876763
-8.7587365728900317e-05,-0.042870210317626264
-8.7447365728900281e-05,-0.050190161423133581
-8.7307365728900245e-05,-0.050190161423131915
-8.7167365728900317e-05,-0.046530185870382421
-8.7027365728900281e-05,-0.050190161423133581
-8.6887365728900246e-05,-0.046530185870382421
-8.6747365728900318e-05,-0.050190161423131915
-8.6607365728900282e-05,-0.053850136975886413
-8.6467365728900246e-05,-0.053850136975884748
-8.6327365728900319e-05,-0.050190161423135246
-8.6187365728900283e-05,-0.050190161423133581
-8.6047365728900247e-05,-0.046530185870382421
-8.5907365728900319e-05,-0.050190161423131915
