#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-21 14:21:51.110

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1047.6157527896642,-3.8722259799696368,-0.4849431567447432,-23.134297168496495
1176.8119524349993,-3.8729117437400777,-0.68524231104627153,-27.153964195520565
1321.9411484660302,-3.8731444752573934,-0.92335393579915204,-31.179123194115959
1484.9682622544651,-3.8739483979856528,-1.1985492186458142,-35.195656964597831
1668.1005372000593,-3.8730630605293825,-1.5120326807245497,-39.164682342213695
1873.817422860385,-3.8740697137012332,-1.8607008668275025,-43.052112929239883
2104.9041445120197,-3.8741193443856705,-2.2431795053750947,-46.83384377210028
2364.4894126454069,-3.8736784447815049,-2.6616005698373799,-50.463196514334761
2656.0877829466867,-3.8747515982637331,-3.1032603396629712,-53.923399961552157
2983.6472402833406,-3.8750268212324257,-3.5761377195448545,-57.190907281919877
3351.6026509388444,-3.8762177858150788,-4.0767467233074575,-60.242740113241311
3764.9358067924677,-3.8764359177000829,-4.6155035659381651,-63.086910735821839
4229.2428743894989,-3.881114995605806,-5.1962690537080451,-65.70204962008485
4750.8101621027981,-3.8806606040689862,-5.858232764169693,-68.110326555517872
5336.6992312063066,-3.880403051483337,-6.7026661535418111,-70.311886674749346
5994.8425031894085,-3.87996006642941,-7.6184218768006531,-72.317554756515037
6734.1506577508208,-3.891387045911995,-8.5506669751462354,-74.126633159335356
7564.6332755462909,-3.8822202747962633,-9.4930750446646464,-75.767413924342748
8497.5343590864395,-3.883001754737748,-10.454124987234085,-77.242382279472736
9545.4845666183373,-3.890728781649349,-11.419990910989943,-78.587097834551514
10722.672220103232,-3.8839972229488144,-12.386758670496471,-79.826319014908393
12045.035402587819,-3.8817928915244178,-13.365791400319797,-80.91108975677588
13530.477745798074,-3.8845419200768294,-14.354340233417327,-81.883627118603613
15199.110829529331,-3.8829051199301117,-15.341791351233757,-82.802241385945251
17073.526474706923,-3.8820701023585142,-16.338333891132827,-83.574303911832459
19179.102616724886,-3.8803381414501765,-17.323988046111673,-84.307160995215554
21544.346900318822,-3.8825617826950549,-18.311880722713269,-84.902116343273889
24201.282647943834,-3.8814489359581965,-19.312684931257124,-85.538268834822532
27185.882427329401,-3.8767294800749292,-20.313385749082041,-86.115045370355347
30538.555088334171,-3.8885509070954605,-21.30604403565162,-86.620513081474343
34304.69286314919,-3.871674990093398,-22.302993880464385,-87.08300109292594
38535.285937105269,-3.8700312310471379,-23.291668547952902,-87.642445365579178
43287.612810830593,-3.8644133133205081,-24.313181411337418,-87.941819402991001
48626.015800653528,-3.8639396896214793,-25.31148254583632,-88.490322376382863
54622.772176843428,-3.8572893364305791,-26.258136064231156,-88.704223780129354
61359.072734131725,-3.8540140006911852,-27.289281915450353,-89.173588713693533
68926.121043496954,-3.853077433641495,-28.331507149171948,-89.484470599993642
77426.368268112696,-3.8459543712105089,-29.344518840741159,-90.027332789794343
86974.900261778297,-3.8483517063072514,-30.37724870292989,-90.343474759702985
97700.995729922564,-3.8414692599307889,-31.382875265083644,-90.55018131526441
109749.8765493056,-3.8380622359360079,-32.339712976798708,-90.753417896046699
123284.67394420668,-3.8346335459680168,-33.259995552874962,-91.600860231520016
138488.63713938731,-3.8353247929863183,-34.284411565181159,-92.288981362696703
155567.61439304712,-3.8515350606594301,-35.191933882605042,-92.948064759158996
174752.84000076842,-3.8411623454984718,-36.177946059666375,-93.939242327105831
196304.06500402704,-3.8384580268838038,-37.098509171052235,-96.222463391045039
220513.07399030466,-3.852007597343575,-38.490823406265051,-96.869630388991396
247707.63559917107,-3.8576066856451785,-39.249119313083952,-101.77389582082307
278255.94022071233,-3.8659754368354888,-41.053336434503215,-106.20078908028769
312571.58496882371,-3.8782622960533724,-42.03303351515973,-125.17448359816837
351119.173421513,-3.88370977509424,-44.291203012746543,-144.26659380651017
394420.60594376572,-3.8949659792335449,-46.250527060839694,-158.22043489998961
443062.14575838798,-3.9085759283303063,-49.470952133268817,-168.46590455640933
497702.35643321136,-3.9162513254465807,-51.289138860296006,179.09696002334246
559081.01825122233,-3.9236137022830149,-54.15534664736802,168.09628214392555
628029.14418342488,-3.9483050097487138,-56.911266000612095,163.33041319679609
705480.23107186449,-3.9438364107757828,-59.436108457480501,143.58054428963135
792482.89835391717,-3.9550777066557563,-61.510603346499963,134.08874015548867
890215.08544503897,-3.966001875867446,-62.882178854691958,115.97914495215309
1000000,-3.9757344871169837,-64.193562343519091,92.336748414900782
