#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-20 14:06:45.066
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-1,-0.02823030810661661,-0.041356260048235644
-0.99975000000000003,-0.02823030810661661,-0.041356260048235644
-0.99950000000000006,-0.02823030810661661,-0.041356260048235644
-0.99924999999999997,-0.024570332553863782,-0.041356260048235644
-0.999,-0.024570332553863782,-0.041356260048235644
-0.99875000000000003,-0.024570332553863782,-0.041356260048235644
-0.99850000000000005,-0.024570332553863782,-0.041356260048235644
-0.99824999999999997,-0.02823030810661661,-0.041356260048235644
-0.998,-0.02823030810661661,-0.045075894073140631
-0.99775000000000003,-0.024570332553863782,-0.041356260048235644
-0.99750000000000005,-0.02823030810661661,-0.045075894073140631
-0.99724999999999997,-0.02823030810661661,-0.045075894073140631
-0.997,-0.02823030810661661,-0.045075894073140631
-0.99675000000000002,-0.02823030810661661,-0.045075894073140631
-0.99650000000000005,-0.02823030810661661,-0.045075894073140631
-0.99624999999999997,-0.02823030810661661,-0.045075894073140631
-0.996,-0.02823030810661661,-0.045075894073140631
-0.99575000000000002,-0.02823030810661661,-0.045075894073140631
-0.99550000000000005,-0.02823030810661661,-0.045075894073140631
-0.99524999999999997,-0.02823030810661661,-0.045075894073140631
-0.995,-0.02823030810661661,-0.045075894073140631
-0.99475000000000002,-0.02823030810661661,-0.048795528098045625
-0.99450000000000005,-0.02823030810661661,-0.048795528098045625
-0.99424999999999997,-0.024570332553863782,-0.045075894073140631
-0.99399999999999999,-0.024570332553863782,-0.045075894073140631
-0.99375000000000002,-0.02823030810661661,-0.048795528098045625
-0.99350000000000005,-0.02823030810661661,-0.048795528098045625
-0.99324999999999997,-0.02823030810661661,-0.048795528098045625
-0.99299999999999999,-0.02823030810661661,-0.048795528098045625
-0.99275000000000002,-0.02823030810661661,-0.048795528098045625
-0.99250000000000005,-0.02823030810661661,-0.048795528098045625
-0.99224999999999997,-0.02823030810661661,-0.048795528098045625
-0.99199999999999999,-0.02823030810661661,-0.048795528098045625
-0.99175000000000002,-0.02823030810661661,-0.048795528098045625
-0.99150000000000005,-0.02823030810661661,-0.052515162122950612
-0.99124999999999996,-0.02823030810661661,-0.048795528098045625
-0.99099999999999999,-0.02823030810661661,-0.048795528098045625
-0.99075000000000002,-0.02823030810661661,-0.048795528098045625
-0.99050000000000005,-0.02823030810661661,-0.048795528098045625
-0.99024999999999996,-0.02823030810661661,-0.052515162122950612
-0.98999999999999999,-0.02823030810661661,-0.052515162122950612
-0.98975000000000002,-0.02823030810661661,-0.052515162122950612
-0.98950000000000005,-0.02823030810661661,-0.052515162122950612
-0.98924999999999996,-0.02823030810661661,-0.052515162122950612
-0.98899999999999999,-0.02823030810661661,-0.052515162122950612
-0.98875000000000002,-0.02823030810661661,-0.052515162122950612
-0.98850000000000005,-0.02823030810661661,-0.056234796147855606
-0.98824999999999996,-0.02823030810661661,-0.056234796147855606
-0.98799999999999999,-0.02823030810661661,-0.052515162122950612
-0.98775000000000002,-0.02823030810661661,-0.052515162122950612
-0.98750000000000004,-0.02823030810661661,-0.056234796147855606
-0.98724999999999996,-0.02823030810661661,-0.056234796147855606
-0.98699999999999999,-0.02823030810661661,-0.052515162122950612
-0.98675000000000002,-0.02823030810661661,-0.052515162122950612
-0.98650000000000004,-0.02823030810661661,-0.056234796147855606
-0.98624999999999996,-0.02823030810661661,-0.056234796147855606
-0.98599999999999999,-0.02823030810661661,-0.056234796147855606
-0.98575000000000002,-0.02823030810661661,-0.056234796147855606
-0.98550000000000004,-0.02823030810661661,-0.056234796147855606
-0.98524999999999996,-0.02823030810661661,-0.056234796147855606
-0.98499999999999999,-0.02823030810661661,-0.056234796147855606
-0.98475000000000001,-0.02823030810661661,-0.056234796147855606
-0.98450000000000004,-0.02823030810661661,-0.056234796147855606
-0.98424999999999996,-0.02823030810661661,-0.056234796147855606
-0.98399999999999999,-0.02823030810661661,-0.056234796147855606
-0.98375000000000001,-0.02823030810661661,-0.0599544301727606
-0.98350000000000004,-0.02823030810661661,-0.0599544301727606
-0.98324999999999996,-0.02823030810661661,-0.0599544301727606
-0.98299999999999998,-0.02823030810661661,-0.0599544301727606
-0.98275000000000001,-0.02823030810661661,-0.0599544301727606
-0.98250000000000004,-0.02823030810661661,-0.0599544301727606
-0.98224999999999996,-0.02823030810661661,-0.0599544301727606
-0.98199999999999998,-0.02823030810661661,-0.0599544301727606
-0.98175000000000001,-0.02823030810661661,-0.0599544301727606
-0.98150000000000004,-0.02823030810661661,-0.0599544301727606
-0.98124999999999996,-0.02823030810661661,-0.0599544301727606
-0.98099999999999998,-0.02823030810661661,-0.0599544301727606
-0.98075000000000001,-0.02823030810661661,-0.0599544301727606
-0.98050000000000004,-0.02823030810661661,-0.063674064197665595
-0.98024999999999995,-0.02823030810661661,-0.0599544301727606
-0.97999999999999998,-0.02823030810661661,-0.0599544301727606
-0.97975000000000001,-0.02823030810661661,-0.063674064197665595
-0.97950000000000004,-0.02823030810661661,-0.063674064197665595
-0.97924999999999995,-0.02823030810661661,-0.063674064197665595
-0.97899999999999998,-0.02823030810661661,-0.063674064197665595
-0.97875000000000001,-0.02823030810661661,-0.063674064197665595
-0.97850000000000004,-0.02823030810661661,-0.0599544301727606
-0.97824999999999995,-0.02823030810661661,-0.063674064197665595
-0.97799999999999998,-0.02823030810661661,-0.063674064197665595
-0.97775000000000001,-0.02823030810661661,-0.063674064197665595
-0.97750000000000004,-0.02823030810661661,-0.063674064197665595
-0.97724999999999995,-0.02823030810661661,-0.063674064197665595
-0.97699999999999998,-0.02823030810661661,-0.063674064197665595
-0.97675000000000001,-0.02823030810661661,-0.067393698222570575
-0.97650000000000003,-0.02823030810661661,-0.063674064197665595
-0.97624999999999995,-0.02823030810661661,-0.067393698222570575
-0.97599999999999998,-0.02823030810661661,-0.063674064197665595
-0.97575000000000001,-0.02823030810661661,-0.063674064197665595
-0.97550000000000003,-0.02823030810661661,-0.067393698222570575
-0.97524999999999995,-0.02823030810661661,-0.067393698222570575
-0.97499999999999998,-0.02823030810661661,-0.067393698222570575
-0.97475000000000001,-0.02823030810661661,-0.067393698222570575
-0.97450000000000003,-0.02823030810661661,-0.067393698222570575
-0.97424999999999995,-0.02823030810661661,-0.067393698222570575
-0.97399999999999998,-0.02823030810661661,-0.067393698222570575
-0.97375,-0.02823030810661661,-0.067393698222570575
-0.97350000000000003,-0.02823030810661661,-0.071113332247475569
-0.97324999999999995,-0.02823030810661661,-0.071113332247475569
-0.97299999999999998,-0.02823030810661661,-0.067393698222570575
-0.97275,-0.02823030810661661,-0.067393698222570575
-0.97250000000000003,-0.02823030810661661,-0.067393698222570575
-0.97224999999999995,-0.02823030810661661,-0.067393698222570575
-0.97199999999999998,-0.02823030810661661,-0.071113332247475569
-0.97175,-0.02823030810661661,-0.071113332247475569
-0.97150000000000003,-0.02823030810661661,-0.071113332247475569
-0.97124999999999995,-0.02823030810661661,-0.071113332247475569
-0.97099999999999997,-0.02823030810661661,-0.071113332247475569
-0.97075,-0.02823030810661661,-0.071113332247475569
-0.97050000000000003,-0.02823030810661661,-0.071113332247475569
-0.97024999999999995,-0.02823030810661661,-0.071113332247475569
-0.96999999999999997,-0.02823030810661661,-0.071113332247475569
-0.96975,-0.02823030810661661,-0.071113332247475569
-0.96950000000000003,-0.02823030810661661,-0.071113332247475569
-0.96924999999999994,-0.02823030810661661,-0.071113332247475569
-0.96899999999999997,-0.02823030810661661,-0.071113332247475569
-0.96875,-0.02823030810661661,-0.071113332247475569
-0.96850000000000003,-0.02823030810661661,-0.074832966272380563
-0.96825000000000006,-0.02823030810661661,-0.071113332247475569
