#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-21 14:17:35.395

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
6734.1506577508208,-3.9167443575783114,-9.2868402209360692,-61.445990670746447
7564.6332755462909,-3.9062006168167884,-10.093056560759937,-64.094056287556668
8497.5343590864395,-3.9093411197284826,-10.932982014036055,-66.571741907845905
9545.4845666183373,-3.9132376482526294,-11.800304952825973,-68.833562563291963
10722.672220103232,-3.9080150136587157,-12.700147770867821,-70.884838279229513
12045.035402587819,-3.9104759760811292,-13.601180865954294,-72.802182820963324
13530.477745798074,-3.9153033587788326,-14.525699883454218,-74.516177558109462
15199.110829529331,-3.9114330847706213,-15.477887313528553,-76.057889623755926
17073.526474706923,-3.9086738341671339,-16.429283315627128,-77.472708803740545
19179.102616724886,-3.9073448816052552,-17.381518863338073,-78.741023386098348
21544.346900318822,-3.9091863804928826,-18.35915924478013,-79.87287460836933
24201.282647943834,-3.905026788627862,-19.339833938482528,-80.774443036648449
27185.882427329401,-3.9018061440625345,-20.32735281403572,-81.756063860723089
30538.555088334171,-3.916216999034865,-21.319515351062751,-82.535926221000921
34304.69286314919,-3.9006447166669833,-22.319311602878042,-83.33874782940083
38535.285937105269,-3.8971070426753456,-23.289523992163129,-83.912577829827327
43287.612810830593,-3.8948596668026036,-24.27993320445788,-84.18619449640201
48626.015800653528,-3.8893953395148673,-25.335323595193291,-85.040598250228129
54622.772176843428,-3.8858413731912602,-26.31352114595915,-85.315716811311518
61359.072734131725,-3.8829127057254103,-27.326507917382902,-85.870714900674812
68926.121043496954,-3.878029615618078,-28.299482956902168,-86.023729731786602
77426.368268112696,-3.8749437097960988,-29.336857439386105,-86.20182609772047
86974.900261778297,-3.8704875847893208,-30.355727454432319,-86.437912699535957
97700.995729922564,-3.8658842867497754,-31.366089600372732,-86.649213509674198
109749.8765493056,-3.8674487409325002,-32.394247200871469,-86.290664564100553
123284.67394420668,-3.8636157710648122,-33.414773408093581,-86.722240444224553
138488.63713938731,-3.861353154431824,-34.274190215770993,-87.32405022450564
155567.61439304712,-3.8759432332964905,-35.406467094474422,-87.344946945989022
174752.84000076842,-3.8743395790787876,-36.409851440886854,-87.561543171774474
196304.06500402704,-3.8658894717933476,-37.294186416091208,-87.057166664941292
220513.07399030466,-3.8770664603504112,-38.337869704631572,-87.035228427843776
247707.63559917107,-3.885512272076971,-39.677471812157521,-87.030550393479672
278255.94022071233,-3.8935325122336444,-40.713419245595801,-87.780151120897045
312571.58496882371,-3.9068054091628071,-41.541988706883984,-85.840229157472208
351119.173421513,-3.9130130738652213,-42.551485775835268,-87.05914967938422
394420.60594376572,-3.9160243930392351,-43.639587195430906,-86.352277968119893
443062.14575838798,-3.9347312606982516,-44.756521245372774,-85.712764855481581
497702.35643321136,-3.9489030267683329,-46.039441280113863,-86.097396215658335
559081.01825122233,-3.9495605394084321,-46.880741727798458,-85.049080840488074
628029.14418342488,-3.9742025702865886,-48.029337818523118,-85.894603386005883
705480.23107186449,-3.9731622886698261,-49.145446958589226,-85.875861461918475
792482.89835391717,-3.9888598080768323,-50.456117273902628,-84.162526012083305
890215.08544503897,-3.9949559568491226,-51.557079882931312,-84.934673430102052
1000000,-4.007095616146243,-52.33788027052163,-83.387110840666026
