#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-10-21 14:10:34.573
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V

Time (s),Channel 1 (V),Channel 2 (V)
-5,-0.050045508881187174,-2.4808659617381243
-4.9987500000000002,-0.049712241378281043,-2.4805277818834912
-4.9974999999999996,-0.050045508881187022,-2.4801896020288581
-4.9962499999999999,-0.049712241378281043,-2.4798514221742249
-4.9950000000000001,-0.050045508881187174,-2.4791750624649587
-4.9937500000000004,-0.049712241378281195,-2.4788368826103255
-4.9924999999999997,-0.048712438869562648,-2.4784987027556924
-4.99125,-0.050045508881187174,-2.4778223430464257
-4.9900000000000002,-0.050378776384093306,-2.4771459833371594
-4.9887499999999996,-0.050378776384093306,-2.4764696236278927
-4.9874999999999998,-0.050378776384093306,-2.4757932639186269
-4.9862500000000001,-0.050378776384093306,-2.4754550840639937
-4.9850000000000003,-0.050712043886999285,-2.4747787243547279
-4.9837499999999997,-0.050712043886999437,-2.4741023646454607
-4.9824999999999999,-0.050712043886999437,-2.4737641847908276
-4.9812500000000002,-0.050712043886999437,-2.4730878250815613
-4.9800000000000004,-0.050378776384093459,-2.4724114653722955
-4.9787499999999998,-0.050378776384093306,-2.4717351056630288
-4.9775,-0.050378776384093306,-2.4713969258083957
-4.9762500000000003,-0.050378776384093306,-2.4707205660991289
-4.9749999999999996,-0.050045508881186716,-2.4700442063898622
-4.9737499999999999,-0.049045706372468779,-2.4693678466805964
-4.9725000000000001,-0.050378776384093306,-2.4690296668259633
-4.9712500000000004,-0.050378776384093306,-2.4683533071166974
-4.9699999999999998,-0.050045508881187174,-2.4680151272620638
-4.96875,-0.050045508881187174,-2.4673387675527976
-4.9675000000000002,-0.050045508881187174,-2.467000587698164
-4.9662499999999996,-0.050045508881187022,-2.4663242279888977
-4.9649999999999999,-0.049712241378281043,-2.4659860481342646
-4.9637500000000001,-0.048379171366656516,-2.4653096884249983
-4.9625000000000004,-0.050045508881186418,-2.4646333287157325
-4.9612499999999997,-0.050045508881187174,-2.4639569690064658
-4.96,-0.050045508881187174,-2.4636187891518326
-4.9587500000000002,-0.050045508881187174,-2.4629424294425659
-4.9574999999999996,-0.050045508881187327,-2.4626042495879323
-4.9562499999999998,-0.050378776384093306,-2.4619278898786665
-4.9550000000000001,-0.050045508881187174,-2.4612515301694002
-4.9537500000000003,-0.050045508881187174,-2.4605751704601344
-4.9524999999999997,-0.050045508881187174,-2.4602369906055004
-4.9512499999999999,-0.050045508881187174,-2.4595606308962341
-4.9500000000000002,-0.050045508881187174,-2.4588842711869678
-4.9487500000000004,-0.050045508881187174,-2.4585460913323347
-4.9474999999999998,-0.049378973875374911,-2.4578697316230684
-4.94625,-0.049378973875374911,-2.4575315517684353
-4.9450000000000003,-0.049378973875374911,-2.456855192059169
-4.9437499999999996,-0.050045508881187174,-2.4561788323499023
-4.9424999999999999,-0.050045508881187174,-2.455502472640636
-4.9412500000000001,-0.050045508881187174,-2.4548261129313698
-4.9400000000000004,-0.050378776384093153,-2.4544879330767366
-4.9387499999999998,-0.050378776384093306,-2.4538115733674704
-4.9375,-0.049712241378281043,-2.4531352136582041
-4.9362500000000002,-0.048712438869562648,-2.4527970338035709
-4.9349999999999996,-0.050045508881187174,-2.4521206740943042
-4.9337499999999999,-0.050045508881187174,-2.4517824942396711
-4.9325000000000001,-0.050045508881187174,-2.4511061345304048
-4.9312500000000004,-0.050045508881187174,-2.450429774821139
-4.9299999999999997,-0.050045508881187174,-2.4497534151118723
-4.92875,-0.050045508881187174,-2.4494152352572391
-4.9275000000000002,-0.049712241378281043,-2.4487388755479729
-4.9262499999999996,-0.050045508881187327,-2.4484006956933388
-4.9249999999999998,-0.050378776384093306,-2.447724335984073
-4.9237500000000001,-0.050378776384093306,-2.4470479762748067
-4.9225000000000003,-0.050378776384093306,-2.4467097964201736
-4.9212499999999997,-0.050378776384093306,-2.4460334367109073
-4.9199999999999999,-0.050378776384093306,-2.4456952568562742
-4.9187500000000002,-0.050045508881187174,-2.4450188971470079
-4.9175000000000004,-0.050045508881187174,-2.4446807172923744
-4.9162499999999998,-0.049045706372468779,-2.4440043575831081
-4.915,-0.050378776384093306,-2.4433279978738418
-4.9137500000000003,-0.050378776384093306,-2.4429898180192087
-4.9124999999999996,-0.050378776384093306,-2.4426516381645751
-4.9112499999999999,-0.050378776384093306,-2.4419752784553093
-4.9100000000000001,-0.050045508881187174,-2.441298918746043
-4.9087500000000004,-0.049378973875375216,-2.4406225590367767
-4.9074999999999998,-0.050045508881187174,-2.4402843791821431
-4.90625,-0.050378776384093306,-2.4396080194728769
-4.9050000000000002,-0.050378776384093306,-2.4389316597636106
-4.9037499999999996,-0.050378776384093306,-2.4382553000543443
-4.9024999999999999,-0.050378776384093306,-2.4379171201997112
-4.9012500000000001,-0.050378776384093306,-2.4372407604904445
-4.9000000000000004,-0.050378776384093306,-2.4365644007811786
-4.8987499999999997,-0.050378776384093306,-2.4358880410719119
-4.8975,-0.050378776384093306,-2.4355498612172788
-4.8962500000000002,-0.050378776384093306,-2.4348735015080125
-4.8949999999999996,-0.050378776384093459,-2.4345353216533789
-4.8937499999999998,-0.050712043886999437,-2.4338589619441131
-4.8925000000000001,-0.050712043886999437,-2.4331826022348464
-4.8912500000000003,-0.050712043886999437,-2.4325062425255806
-4.8899999999999997,-0.050712043886999285,-2.4318298828163138
-4.8887499999999999,-0.050378776384093306,-2.4314917029616807
-4.8875000000000002,-0.049378973875374911,-2.4308153432524144
-4.8862500000000004,-0.050378776384092848,-2.4301389835431486
-4.8849999999999998,-0.050378776384093306,-2.4298008036885146
-4.88375,-0.050378776384093306,-2.4291244439792483
-4.8825000000000003,-0.050378776384093306,-2.428448084269982
-4.8812499999999996,-0.050378776384093306,-2.4281099044153485
-4.8799999999999999,-0.050378776384093306,-2.4274335447060826
-4.8787500000000001,-0.050378776384093306,-2.4267571849968164
-4.8775000000000004,-0.050378776384093306,-2.4260808252875501
-4.8762499999999998,-0.050378776384093306,-2.4257426454329165
-4.875,-0.050378776384093306,-2.4250662857236502
-4.8737500000000002,-0.050378776384093306,-2.4247281058690171
-4.8724999999999996,-0.050712043886999437,-2.4243899260143835
-4.8712499999999999,-0.050712043886999437,-2.4237135663051177
-4.8700000000000001,-0.050378776384093306,-2.4233753864504846
-4.8687500000000004,-0.050378776384093306,-2.4226990267412187
-4.8674999999999997,-0.050045508881187174,-2.4220226670319516
-4.86625,-0.049378973875374911,-2.4213463073226853
-4.8650000000000002,-0.050378776384093306,-2.4210081274680522
-4.8637499999999996,-0.050378776384093306,-2.4203317677587859
-4.8624999999999998,-0.050378776384093306,-2.4199935879041528
-4.8612500000000001,-0.050378776384093306,-2.4193172281948865
-4.8600000000000003,-0.050378776384093306,-2.4186408684856202
-4.8587499999999997,-0.050378776384093153,-2.4179645087763535
-4.8574999999999999,-0.050045508881187174,-2.4176263289217204
-4.8562500000000002,-0.048712438869562648,-2.4169499692124541
-4.8550000000000004,-0.050045508881186571,-2.4162736095031883
-4.8537499999999998,-0.050045508881187174,-2.4159354296485547
-4.8525,-0.050045508881187174,-2.4152590699392884
-4.8512500000000003,-0.050045508881187174,-2.4145827102300217
-4.8499999999999996,-0.050045508881187174,-2.4142445303753881
-4.8487499999999999,-0.050045508881187174,-2.4135681706661223
-4.8475000000000001,-0.050045508881187174,-2.412891810956856
-4.8462500000000004,-0.050378776384093153,-2.4125536311022229
-4.8449999999999998,-0.050378776384093306,-2.4118772713929566
-4.84375,-0.050045508881187174,-2.4115390915383235
-4.8425000000000002,-0.050045508881187174,-2.4108627318290567
-4.8412499999999996,-0.05004550888118748,-2.4101863721197905
-4.8399999999999999,-0.050712043886999437,-2.4098481922651573
-4.8387500000000001,-0.050045508881187174,-2.4091718325558911
-4.8375000000000004,-0.049045706372469237,-2.4084954728466252
-4.8362499999999997,-0.050045508881187174,-2.4081572929919917
-4.835,-0.050045508881187174,-2.4074809332827249
-4.8337500000000002,-0.050378776384093306,-2.4068045735734587
-4.8324999999999996,-0.050378776384093153,-2.4061282138641924
-4.8312499999999998,-0.050045508881187174,-2.4057900340095593
-4.8300000000000001,-0.050045508881187174,-2.405113674300293
-4.8287500000000003,-0.050045508881187174,-2.4044373145910272
-4.8274999999999997,-0.048712438869563252,-2.4040991347363931
-4.8262499999999999,-0.050045508881187174,-2.4034227750271269
-4.8250000000000002,-0.050045508881187174,-2.4030845951724937
-4.8237500000000004,-0.050378776384093153,-2.4024082354632279
-4.8224999999999998,-0.050378776384093306,-2.4017318757539612
-4.82125,-0.050378776384093306,-2.4013936958993281
-4.8200000000000003,-0.050378776384093306,-2.4007173361900618
-4.8187499999999996,-0.050378776384093306,-2.4003791563354282
-4.8174999999999999,-0.050378776384093306,-2.3997027966261619
-4.8162500000000001,-0.050378776384093306,-2.3990264369168957
-4.8150000000000004,-0.050378776384093306,-2.3986882570622625
-4.8137499999999998,-0.050378776384093306,-2.3980118973529962
-4.8125,-0.050378776384093306,-2.39733553764373
-4.8112500000000002,-0.050045508881187174,-2.3969973577890968
-4.8099999999999996,-0.050045508881187174,-2.3963209980798297
-4.8087499999999999,-0.050045508881187174,-2.3956446383705639
-4.8075000000000001,-0.049045706372468779,-2.3953064585159307
-4.8062500000000004,-0.050378776384092702,-2.3946300988066649
-4.8049999999999997,-0.050378776384093306,-2.3939537390973982
-4.80375,-0.050378776384093306,-2.3932773793881319
-4.8025000000000002,-0.050378776384093306,-2.3929391995334988
-4.8012499999999996,-0.050378776384093306,-2.3922628398242316
-4.7999999999999998,-0.050378776384093306,-2.3915864801149658
-4.7987500000000001,-0.050045508881187174,-2.3912483002603326
-4.7975000000000003,-0.049045706372469237,-2.3905719405510668
-4.7962499999999997,-0.050378776384093459,-2.3898955808418001
-4.7949999999999999,-0.050712043886999437,-2.389557400987167
-4.7937500000000002,-0.050378776384093306,-2.3888810412779002
-4.7925000000000004,-0.050712043886999285,-2.3882046815686344
-4.7912499999999998,-0.050378776384093306,-2.3878665017140008
-4.79,-0.050378776384093306,-2.3871901420047346
-4.7887500000000003,-0.050378776384093306,-2.3865137822954683
-4.7874999999999996,-0.050378776384093153,-2.3858374225862016
-4.7862499999999999,-0.050045508881187174,-2.3851610628769353
-4.7850000000000001,-0.050378776384093306,-2.3848228830223022
-4.7837500000000004,-0.050378776384093306,-2.3841465233130363
-4.7824999999999998,-0.050378776384093306,-2.3838083434584028
-4.78125,-0.050045508881187174,-2.3831319837491365
-4.7800000000000002,-0.048712438869562648,-2.3824556240398702
-4.7787499999999996,-0.050378776384093153,-2.3821174441852366
-4.7774999999999999,-0.050045508881187174,-2.3814410844759704
-4.7762500000000001,-0.050045508881187174,-2.3811029046213372
-4.7750000000000004,-0.050045508881187174,-2.3804265449120714
-4.7737499999999997,-0.050045508881187174,-2.3800883650574378
-4.7725,-0.049712241378281043,-2.3794120053481715
-4.7712500000000002,-0.049378973875374911,-2.3787356456389053
-4.7699999999999996,-0.049378973875375216,-2.3783974657842717
-4.7687499999999998,-0.050045508881187174,-2.3777211060750054
-4.7675000000000001,-0.050045508881187174,-2.3770447463657391
-4.7662500000000003,-0.050045508881187174,-2.376706566511106
-4.7649999999999997,-0.049712241378281195,-2.3760302068018393
-4.7637499999999999,-0.050045508881187174,-2.3753538470925735
-4.7625000000000002,-0.050045508881187174,-2.3750156672379403
-4.7612500000000004,-0.050045508881187174,-2.3743393075286745
-4.7599999999999998,-0.049712241378281043,-2.3736629478194073
-4.75875,-0.049712241378281043,-2.3733247679647742
-4.7575000000000003,-0.050045508881187174,-2.3726484082555079
