#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2017-12-11 14:18:09.797

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
109749.8765493056,-1.040762834113226,-11.559023206798342,-61.209493277593012
123284.67394420668,-1.0378910430334822,-12.879331117596495,-71.913130082133563
138488.63713938731,-1.0341552362633415,-15.207868489975755,-84.118248630616733
155567.61439304712,-1.0589878067623189,-19.166845454473631,-94.625192179475903
174752.84000076842,-1.0447936057897618,-23.482941640240405,-99.240684443840792
196304.06500402704,-1.0425550116121991,-26.752222902592131,-101.96783120538618
220513.07399030466,-1.0427252688452247,-29.300930637252559,-105.64188392463069
247707.63559917107,-1.0464522262172804,-31.800010849648551,-109.15241060911187
278255.94022071233,-1.0491813733987623,-33.435942030114774,-115.48267535528424
312571.58496882371,-1.0690589021692893,-35.704633844641897,-124.97191357658008
351119.173421513,-1.0751720167962255,-38.152064348899202,-133.37364302157056
394420.60594376572,-1.0865690396606138,-39.091041270405519,-134.65640682402994
443062.14575838798,-1.0878657144812283,-37.847922812410545,-144.38897429718591
497702.35643321136,-1.0504010724844197,-40.841495587479343,-167.24547964627033
559081.01825122233,-1.096990549712739,-43.336727672264381,170.76769518455885
628029.14418342488,-1.1182336451224499,-45.710098447192202,152.85358951822008
705480.23107186449,-1.1216722731570954,-48.492896633512082,143.23060031429128
792482.89835391717,-1.1466580449258932,-52.153901643466241,134.16471100104121
890215.08544503897,-1.1476486391006477,-55.75675715284337,136.35577229411876
1000000,-1.1615958896422323,-59.068793335640422,135.59211421622388
