#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18883
#Date Time: 2017-10-05 00:57:02.346

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1.0000000000000011,47.520358819737105,43.165265245992373
1.0722672220103242,44.298940499617828,-10.058343452824001
1.1497569953977367,47.470157076456864,33.129743006891793
1.2328467394420672,44.315268604557367,8.9748292384188844
1.3219411484660302,55.667466499896435,86.277747253366414
1.4174741629268064,45.53373674631451,-7.8524033819862993
1.5199110829529348,53.419780025593269,-30.345469027620517
1.6297508346206451,45.985177211526036,35.081463157867148
1.7475284000076847,44.644292236382974,28.054822410512326
1.8738174228603868,43.840417751290275,26.085086149467248
2.0092330025650482,49.466682939794239,-6.1212291266990242
2.1544346900318869,47.222640704580314,33.616643959229165
2.3101297000831624,45.142032999668338,81.289386176325863
2.4770763559917115,52.346009157395876,78.704144340474159
2.6560877829466896,48.177750291274563,76.71965921398872
2.8480358684358045,55.377204135548581,92.444661072153139
3.0538555088334189,59.180871650161784,118.46401428763446
3.2745491628777317,62.049414611489098,99.285371020566146
3.5111917342151346,65.739362013774851,-96.854018375470588
3.7649358067924714,59.744015537892068,-107.3715452050096
4.037017258596558,58.086592606816218,-68.577623722618952
4.3287612810830618,53.417497936822691,-79.003935151826155
4.6415888336127828,51.826048380177561,-62.606197887980819
4.9770235643321135,49.525462051058298,-28.397537402331487
5.3366992312063122,54.606272687540311,17.662652283348176
5.7223676593502262,52.223769667018445,16.317828108286179
6.1359072734131761,52.335945290264227,33.632838189995041
6.5793322465756816,53.096138783549463,38.063171481504085
7.054802310718653,52.540401436809645,48.466809878966544
7.5646332755462913,53.105271007573279,69.506289880004573
8.1113083078968717,52.972172289717136,83.323127517057472
8.6974900261778441,56.33926974458155,99.715361588468383
9.3260334688322075,56.956464921364145,107.52371398869738
10,58.944967960165314,117.89221133792631
10.722672220103236,60.78528843081979,141.82523898130711
11.497569953977369,61.67999329329124,143.18809934927731
12.328467394420672,59.779921680105083,146.58735575282282
13.219411484660293,59.277315972372335,166.66551027407343
14.174741629268063,61.157061455647067,-163.70421771548675
15.199110829529346,60.969498135450024,158.89543793583661
16.297508346206445,61.752196236485716,-166.38686899214105
17.475284000076847,62.862691756568722,167.65125284671365
18.738174228603857,61.525647608003609,-172.54577515026017
20.09233002565049,58.872481515055028,-177.65915188392856
21.544346900318846,58.818491001516165,176.44199639102311
23.101297000831615,63.68066870527138,145.2058689813816
24.770763559917128,58.534808845659484,146.39304505206948
26.560877829466868,58.058154125567739,120.27859367358761
28.480358684358034,58.010453931071375,88.346119382135456
30.538555088334185,57.68891674005809,43.707961536864048
32.745491628777302,54.036033601731987,1.6852215836575686
35.11191734215133,53.863478481487881,-6.9938108832725732
37.649358067924716,57.7145237626697,-6.4270085813514504
40.370172585965555,56.691562832931808,-7.7093050934962193
43.287612810830595,56.663454212739751,4.99225076549377
46.415888336127821,57.792137461361193,15.538315203162806
49.770235643321115,54.832422807602264,26.965625562289603
53.366992312063125,53.337679430892209,80.706624072890548
57.223676593502198,42.271569534068988,39.582915013666621
61.359072734131729,38.311296178721072,137.24251961469415
65.79332246575683,25.362449524269707,-138.09535806250105
70.548023107186452,16.093021458031863,-144.33384970245399
75.646332755462936,20.396914671865506,-59.836023373528178
81.113083078968728,21.973975453121461,-165.38917973961804
86.974900261778387,14.68095859817373,-168.3030802925694
93.260334688322033,13.113408454726809,-74.964388449382582
100,9.8339739130617652,-21.307253656368161
107.22672220103237,-8.1975699768204446,-159.21376708997198
114.97569953977359,5.28929908036441,111.03796901231753
123.28467394420669,4.0308259494575429,-19.175853967972557
132.19411484660293,-2.651297806580005,-153.24079857010668
141.7474162926805,0.30253671515074526,38.279117880061932
151.99110829529343,5.5873994760599075,16.617683884064377
162.97508346206445,4.6295226555969569,-74.742756229777669
174.75284000076849,4.0778485629312602,-26.211039944215656
187.38174228603845,7.0012667302788953,88.340644957130451
200.92330025650469,-11.587729777881275,133.72958427649991
215.44346900318845,13.049927726037318,-42.547010436351627
231.01297000831596,-6.7466790550281992,-98.26956346285138
247.7076355991712,0.36342521065088218,-43.191318089569592
265.6087782946687,16.374268829202876,-112.69582305479581
284.80358684358032,6.2822279248334434,91.91267892536149
305.38555088334164,-6.788797436192473,85.304873366272915
327.45491628777279,1.2894834143170411,-64.608555439593744
351.11917342151321,-3.9154590945080341,-120.70022486095081
376.4935806792468,-0.79208306971117082,-143.41445053089902
403.70172585965565,6.7108000975421049,155.66003198441581
432.87612810830586,1.3432248539001843,-136.53327889585387
464.15888336127779,3.4881738016009356,70.957694191326283
497.70235643321121,-2.6343211281293137,-140.44587922284845
533.66992312063087,8.7258722445264283,-133.9255963974382
572.23676593502194,0.67326865932821445,-124.95544019821978
613.59072734131723,5.4352097853058954,117.30689517369166
657.9332246575683,-3.958498202820242,-13.721158035527409
705.48023107186441,9.8882859802859961,-142.73147875735572
756.46332755462879,1.272335063614439,-80.135036782138798
811.13083078968725,13.22669423920447,-20.745331542894036
869.74900261778316,0.31828997801140019,-72.412343949879329
932.60334688322018,3.774049000150685,-53.603339742651087
1000,-4.757526786013389,107.4664783148712
