#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A0F
#Date Time: 2017-10-06 13:14:36.513

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
3072.112998861759,-6.3872990222301045,-60.829806874877008
3255.0885998350564,-6.7708833456990183,-62.17210751711908
3448.9622604057563,-7.1623634447140869,-63.46741639709326
3654.3830709572544,-7.5632351730472616,-64.719617432124821
3872.0387818125569,-7.9721513643181297,-65.928240866252224
4102.658105827195,-8.3898935077230608,-67.098434106965925
4347.0131581250216,-8.8131246848701537,-68.213087723980863
4605.9220411451042,-9.243227139676792,-69.28711146545146
4880.2515836544335,-9.6791208055021727,-70.320251846753692
5170.920242896761,-10.12187623470691,-71.303254741928214
5478.901179593945,-10.569717141906548,-72.245079984612346
5805.2255160948962,-11.021225122294426,-73.144569598104113
6150.9857885804977,-11.478888908488313,-74.003181631784713
6517.3396048824197,-11.938649785039031,-74.828189338167761
6905.5135201623307,-12.40174362284028,-75.588754830628545
7316.8071434271997,-12.870357419253954,-76.330843468346572
7752.5974886294562,-13.343071849781293,-77.056907338862501
8214.3435849194229,-13.813878228827035,-77.718761611085966
8703.591361485167,-14.289457924439869,-78.344683297202948
9221.9788233343315,-14.768881446642512,-78.951743732893064
9771.2415353465021,-15.247724636176267,-79.523595471691479
10353.218432956615,-15.728951407754408,-80.068506898827479
10969.857978923828,-16.217810511071001,-80.591856147072662
11623.224686798523,-16.697991920862304,-81.068736533806515
12315.506032928261,-17.187500225248932,-81.53692264057814
13049.01978014403,-17.671146930973261,-81.981491148253639
13826.221737646563,-18.159836552904377,-82.390673598129069
14649.713983072848,-18.654878755200794,-82.77584490710214
15522.253574270471,-19.14314387240498,-83.158609968107271
16446.761779946642,-19.637077178257826,-83.5360858403686
17426.333860096507,-20.135823584258816,-83.827076440675967
18464.249428955442,-20.630233734114359,-84.147852244004895
19563.98343517063,-21.118638500224645,-84.429075462725621
20729.217795953711,-21.614132270534213,-84.710954098941386
21963.85372416547,-22.115006684058571,-84.969168489754679
23272.024789604096,-22.608425527455932,-85.303470942583289
24658.110758226037,-23.102442591837381,-85.473056952573643
26126.752255633262,-23.599222093437596,-85.687932809937877
27682.866303920651,-24.100584975731948,-85.884296910902265
29331.662783900454,-24.594969305567417,-86.059268582685718
