#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18883
#Date Time: 2017-10-05 00:25:05.644
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 2: Range: 100 mV/div Offset: 100 mV

Time (s),Channel 2 (V)
-5,-0.051966628861513001
-4.9987500000000002,-0.059120377592620905
-4.9974999999999996,-0.064911507517805347
-4.9962499999999999,-0.068999363935579427
-4.9950000000000001,-0.071043292144467404
-4.9937500000000004,-0.072405910950392088
-4.9924999999999997,-0.073087220353355367
-4.99125,-0.073087220353355367
-4.9900000000000002,-0.073087220353355367
-4.9887499999999996,-0.073087220353355214
-4.9874999999999998,-0.07274656565187404
-4.9862500000000001,-0.072405910950392713
-4.9850000000000003,-0.072065256248911538
-4.9837499999999997,-0.071724601547429129
-4.9824999999999999,-0.069680673338542082
-4.9812500000000002,-0.066614781025210124
-4.9800000000000004,-0.065252162219285439
-4.9787499999999998,-0.066955435726691465
-4.9775,-0.071383946845948731
-4.9762500000000003,-0.077515731472612648
-4.9749999999999996,-0.086032099009649879
-4.9737499999999999,-0.094889121248160402
-4.9725000000000001,-0.10238352468074963
-4.9712500000000004,-0.10885596400889191
-4.9699999999999998,-0.11362512982963346
-4.96875,-0.11600971274000277
-4.9675000000000002,-0.11600971274000277
-4.9662499999999996,-0.11362512982963145
-4.9649999999999999,-0.1091966187103762
-4.9637500000000001,-0.10170221527778696
-4.9625000000000004,-0.092504538337795275
-4.9612499999999997,-0.081944242591869915
-4.96,-0.073087220353355367
-4.9587500000000002,-0.067296090428172778
-4.9574999999999996,-0.063889543413359354
-4.9562499999999998,-0.063548888711878165
-4.9550000000000001,-0.063548888711878165
-4.9537500000000003,-0.062867579308915816
-4.9524999999999997,-0.060823651100026466
-4.9512499999999999,-0.058439068189658244
-4.9500000000000002,-0.054351211771882305
-4.9487500000000004,-0.047878772443740003
-4.9474999999999998,-0.04106567841411049
-4.94625,-0.03425258438448392
-4.9450000000000003,-0.026758180951894694
-4.9437499999999996,-0.019604432220783855
-4.9424999999999999,-0.013131992892641553
-4.9412500000000001,-0.008362827071902959
-4.9400000000000004,-0.0049562800570912228
-4.9387499999999998,-0.0035936612511643512
-4.9375,-0.0029123518482016969
-4.9362500000000002,-0.0032530065496830241
-4.9349999999999996,-0.0052969347585728596
-4.9337499999999999,-0.0093847911763469405
-4.9325000000000001,-0.014835266400048203
-4.9312500000000004,-0.02130770572819049
-4.9299999999999997,-0.028120799757820003
-4.92875,-0.034933893787446574
-4.9275000000000002,-0.042087642518554479
-4.9262499999999996,-0.049582045951146958
-4.9249999999999998,-0.056735794682251602
-4.9237500000000001,-0.062186269905952857
-4.9225000000000003,-0.066614781025208111
-4.9212499999999997,-0.070361982741505819
-4.9199999999999999,-0.07274656565187404
-4.9187500000000002,-0.076153112666687325
-4.9175000000000004,-0.080922278487423754
-4.9162499999999998,-0.085691444308164527
-4.915,-0.090119955427421794
-4.9137500000000003,-0.093867157143716407
-4.9124999999999996,-0.097273704158530774
-4.9112499999999999,-0.099658287068898996
-4.9100000000000001,-0.10033959647186165
-4.9087500000000004,-0.099658287068899301
-4.9074999999999998,-0.097955013561492346
-4.90625,-0.097614358860011019
-4.9050000000000002,-0.098636322964455014
-4.9037499999999996,-0.10033959647186243
-4.9024999999999999,-0.1020428699792683
-4.9012500000000001,-0.10374614348667494
-4.9000000000000004,-0.10510876229259962
-4.8987499999999997,-0.10613072639704424
-4.8975,-0.10647138109852557
-4.8962500000000002,-0.10340548878519361
-4.8949999999999996,-0.097273704158524738
-4.8937499999999998,-0.086372753711127181
-4.8925000000000001,-0.07274656565187404
-4.8912500000000003,-0.057417104085221236
-4.8899999999999997,-0.042087642518548594
-4.8887499999999999,-0.029142763862263998
-4.8875000000000002,-0.019945086922268124
-4.8862500000000004,-0.014835266400050527
-4.8849999999999998,-0.013813302295604207
-4.88375,-0.016538539907454838
-4.8825000000000003,-0.023010979235600082
-4.8812499999999996,-0.032208656175600141
-4.8799999999999999,-0.041406333115591817
-4.8787500000000001,-0.048900736548181049
-4.8775000000000004,-0.053669902368917471
-4.8762499999999998,-0.056054485279288947
-4.875,-0.056054485279288947
-4.8737500000000002,-0.052307283562994335
-4.8724999999999996,-0.045153534831882877
-4.8712499999999999,-0.037318476697815878
-4.8700000000000001,-0.029483418563745326
-4.8687500000000004,-0.020967051026715977
-4.8674999999999997,-0.012450683489678899
-4.86625,-0.0063188988630149823
-4.8650000000000002,-0.0029123518482016969
-4.8637499999999996,-0.0012090783407945965
-4.8624999999999998,-0.00018711423635106583
-4.8612500000000001,0.00049419516661158847
-4.8600000000000003,0.00049419516661158847
-4.8587499999999997,-0.00052776893783425195
-4.8574999999999999,-0.0046156253556083465
-4.8562500000000002,-0.012110028788197572
-4.8550000000000004,-0.022670324534113953
-4.8537499999999998,-0.03425258438448392
-4.8525,-0.047538117742255734
-4.8512500000000003,-0.062526924607434198
-4.8499999999999996,-0.077856386174100331
-4.8487499999999999,-0.091823228934828444
-4.8475000000000001,-0.1020428699792683
-4.8462500000000004,-0.10783399990444824
-4.8449999999999998,-0.10953727341185752
-4.84375,-0.10783399990445088
-4.8425000000000002,-0.10408679818815626
-4.8412499999999996,-0.098976977665933552
-4.8399999999999999,-0.092845193039272425
-4.8387500000000001,-0.085691444308164527
-4.8375000000000004,-0.075812457965210495
-4.8362499999999997,-0.064570852816322161
-4.835,-0.052647938264475662
-4.8337500000000002,-0.043450261324479794
-4.8324999999999996,-0.037999786100777602
-4.8312499999999998,-0.035955857891890569
-4.8300000000000001,-0.036637167294853223
-4.8287500000000003,-0.038681095503740263
-4.8274999999999997,-0.041406333115592747
-4.8262499999999999,-0.043450261324479794
-4.8250000000000002,-0.045153534831886437
-4.8237500000000004,-0.046175498936329953
-4.8224999999999998,-0.046175498936330418
-4.82125,-0.045153534831886437
-4.8200000000000003,-0.042428297220035806
-4.8187499999999996,-0.038340440802257854
-4.8174999999999999,-0.033911929683002592
-4.8162500000000001,-0.028802109160782671
-4.8150000000000004,-0.024373598041527403
-4.8137499999999998,-0.020967051026712105
-4.8125,-0.017901158713380147
-4.8112500000000002,-0.016879194608936166
-4.8099999999999996,-0.017560504011899594
-4.8087499999999999,-0.019263777519305469
-4.8075000000000001,-0.020285741623749451
-4.8062500000000004,-0.019263777519305934
-4.8049999999999997,-0.015516575803010857
-4.80375,-0.010066100579309595
-4.8025000000000002,-0.0029123518482016969
-4.8012499999999996,0.0042413968829089896
-4.7999999999999998,0.010373181509570117
-4.7987500000000001,0.014461037927346057
-4.7975000000000003,0.016845620837714265
-4.7962499999999997,0.016504966136232625
-4.7949999999999999,0.013439073822902076
-4.7937500000000002,0.0096918721066074492
-4.7925000000000004,0.0052633609873521964
-4.7912499999999998,-0.00018711423635106583
-4.79,-0.005637589460052328
-4.7887500000000003,-0.010406755280790922
-4.7874999999999996,-0.013813302295604827
-4.7862499999999999,-0.01517592110152953
-4.7850000000000001,-0.014153956997085534
-4.7837500000000004,-0.011088064683754985
-4.7824999999999998,-0.0073408629674589637
-4.78125,-0.0042749706541270194
-4.7800000000000002,-0.0032530065496830241
-4.7787499999999996,-0.0052969347585731692
-4.7774999999999999,-0.010066100579309595
-4.7762500000000001,-0.016879194608936166
-4.7750000000000004,-0.024714252743003155
-4.7737499999999997,-0.032889965578558611
-4.7725,-0.040725023712629163
-4.7712500000000002,-0.048219427145218388
-4.7699999999999996,-0.056054485279292819
-4.7687499999999998,-0.064570852816322161
-4.7675000000000001,-0.073768529756318035
-4.7662500000000003,-0.085010134905196766
-4.7649999999999997,-0.096592394755571381
-4.7637499999999999,-0.10613072639704424
-4.7625000000000002,-0.11192185632222681
-4.7612500000000004,-0.112262511023708
-4.7599999999999998,-0.10783399990445088
-4.75875,-0.099317632367417669
-4.7575000000000003,-0.087394717815571163
-4.7562499999999996,-0.073087220353349164
-4.7549999999999999,-0.059461032294102233
-4.7537500000000001,-0.048900736548181049
-4.7525000000000004,-0.042768951921519922
-4.7512499999999998,-0.040043714309666509
-4.75,-0.03902175020522252
-4.7487500000000002,-0.038681095503741193
-4.7474999999999996,-0.038340440802259866
-4.7462499999999999,-0.038340440802259866
-4.7450000000000001,-0.039703059608185175
-4.7437500000000004,-0.040384369011147524
-4.7424999999999997,-0.03902175020522252
-4.74125,-0.033571274981521265
-4.7400000000000002,-0.023351633937081409
-4.7387499999999996,-0.0093847911763398142
-4.7374999999999998,0.0062853250917941639
-4.7362500000000001,0.021955441359935282
-4.7350000000000003,0.036603593523625744
-4.7337499999999997,0.049207817478444653
-4.7324999999999999,0.056020911508068122
-4.7312500000000002,0.056020911508068122
-4.7300000000000004,0.050570436284369365
-4.7287499999999998,0.040691449941408359
-4.7275,0.028427880688080526
-4.7262500000000003,0.01650496613623402
-4.7249999999999996,0.0052633609873458448
-4.7237499999999999,-0.0042749706541270194
-4.7225000000000001,-0.011428719385234917
-4.7212500000000004,-0.016538539907452514
-4.7199999999999998,-0.018923122817824142
-4.71875,-0.017901158713380147
-4.7175000000000002,-0.01347264759412288
-4.7162499999999996,-0.0056375894600478359
-4.7149999999999999,0.004241396882906201
-4.7137500000000001,0.014801692628827384
-4.7125000000000004,0.025702643076224951
-4.7112499999999997,0.035922284120669751
-4.71,0.044779306359184284
-4.7087500000000002,0.051933055090292196
-4.7074999999999996,0.057042875612513512
-4.7062499999999998,0.060108767925844075
-4.7050000000000001,0.062152696134732038
-4.7037500000000003,0.062493350836213227
-4.7024999999999997,0.062493350836213227
-4.7012499999999999,0.062152696134732038
-4.7000000000000002,0.060108767925844075
