#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18883
#Date Time: 2017-10-05 00:27:15.153
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: 0 VHyst.: AutoHoldOff: 0 s
#Channel 2: Range: 100 mV/div Offset: 100 mV

Time (s),Channel 2 (V)
-5,-0.067636745129654119
-4.9987500000000002,-0.064911507517803488
-4.9974999999999996,-0.061845615204470135
-4.9962499999999999,-0.058779722891139571
-4.9950000000000001,-0.055373175876326286
-4.9937500000000004,-0.051285319458552206
-4.9924999999999997,-0.046516153637811745
-4.99125,-0.041406333115591817
-4.9900000000000002,-0.037999786100778532
-4.9887499999999996,-0.03697782199633548
-4.9874999999999998,-0.03902175020522252
-4.9862500000000001,-0.044472225428923776
-4.9850000000000003,-0.052307283562990775
-4.9837499999999997,-0.061164305801512595
-4.9824999999999999,-0.069340018637060755
-4.9812500000000002,-0.074790493860762017
-4.9800000000000004,-0.078537695577054922
-4.9787499999999998,-0.079559659681500611
-4.9775,-0.078878350278537956
-4.9762500000000003,-0.077175076771131307
-4.9749999999999996,-0.074790493860760934
-4.9737499999999999,-0.072405910950392713
-4.9725000000000001,-0.069340018637060755
-4.9712500000000004,-0.066614781025211359
-4.9699999999999998,-0.064570852816322161
-4.96875,-0.062867579308915511
-4.9675000000000002,-0.061164305801508875
-4.9662499999999996,-0.059120377592620128
-4.9649999999999999,-0.057417104085214263
-4.9637500000000001,-0.057076449383732929
-4.9625000000000004,-0.059120377592619976
-4.9612499999999997,-0.062526924607434198
-4.96,-0.065592816920766142
-4.9587500000000002,-0.067977399831135446
-4.9574999999999996,-0.068999363935579733
-4.9562499999999998,-0.069680673338542082
-4.9550000000000001,-0.071043292144467404
-4.9537500000000003,-0.073427875054835612
-4.9524999999999997,-0.076153112666688103
-4.9512499999999999,-0.077856386174093975
-4.9500000000000002,-0.078537695577056629
-4.9487500000000004,-0.078878350278537804
-4.9474999999999998,-0.078537695577056629
-4.94625,-0.077856386174093975
-4.9450000000000003,-0.076153112666687325
-4.9437499999999996,-0.07342787505483514
-4.9424999999999999,-0.070021328040023423
-4.9412500000000001,-0.066614781025210124
-4.9400000000000004,-0.063889543413360741
-4.9387499999999998,-0.06184561520447153
-4.9375,-0.060142341697064887
-4.9362500000000002,-0.058439068189658244
-4.9349999999999996,-0.056054485279288017
-4.9337499999999999,-0.054010557070400977
-4.9325000000000001,-0.052307283562994335
-4.9312500000000004,-0.051285319458550811
-4.9299999999999997,-0.050263355354106358
-4.92875,-0.050263355354106358
-4.9275000000000002,-0.049922700652625031
-4.9262499999999996,-0.050263355354106511
-4.9249999999999998,-0.050604010055587692
-4.9237500000000001,-0.051625974160031673
-4.9225000000000003,-0.051966628861512848
-4.9212499999999997,-0.053669902368921191
-4.9199999999999999,-0.057076449383732929
-4.9187500000000002,-0.06184561520447153
-4.9175000000000004,-0.066274126323726798
-4.9162499999999998,-0.069340018637060755
-4.915,-0.070702637442986077
-4.9137500000000003,-0.068999363935579427
-4.9124999999999996,-0.06559281692076413
-4.9112499999999999,-0.061164305801508875
-4.9100000000000001,-0.056735794682251602
-4.9087500000000004,-0.053669902368921038
-4.9074999999999998,-0.051625974160031673
-4.90625,-0.050263355354106358
-4.9050000000000002,-0.049582045951143704
-4.9037499999999996,-0.049922700652625183
-4.9024999999999999,-0.050263355354106358
-4.9012500000000001,-0.049241391249662377
-4.9000000000000004,-0.046175498936331813
-4.8987499999999997,-0.041746987817073151
-4.8975,-0.037659131399297205
-4.8962500000000002,-0.035274548488927901
-4.8949999999999996,-0.034933893787447039
-4.8937499999999998,-0.035955857891890569
-4.8925000000000001,-0.037999786100778532
-4.8912500000000003,-0.041065678414109096
-4.8899999999999997,-0.044472225428925635
-4.8887499999999999,-0.048560081846699722
-4.8875000000000002,-0.054010557070400977
-4.8862500000000004,-0.061164305801505621
-4.8849999999999998,-0.068318054532616773
-4.88375,-0.074790493860762017
-4.8825000000000003,-0.080922278487425919
-4.8812499999999996,-0.085691444308165915
-4.8799999999999999,-0.088757336621496485
-4.8787500000000001,-0.089097991322977813
-4.8775000000000004,-0.086713408412609591
-4.8762499999999998,-0.080922278487425919
-4.875,-0.073087220353355367
-4.8737500000000002,-0.064911507517803488
-4.8724999999999996,-0.057757758786692953
-4.8712499999999999,-0.051966628861513001
-4.8700000000000001,-0.048560081846699722
-4.8687500000000004,-0.046516153637812675
-4.8674999999999997,-0.046516153637811745
-4.86625,-0.047878772443737061
-4.8650000000000002,-0.050263355354106358
-4.8637499999999996,-0.0523072835629948
-4.8624999999999998,-0.053329247667438316
-4.8612500000000001,-0.053329247667438316
-4.8600000000000003,-0.051966628861513618
-4.8587499999999997,-0.05026335535410574
-4.8574999999999999,-0.048900736548181049
-4.8562500000000002,-0.048219427145218388
-4.8550000000000004,-0.047538117742256046
-4.8537499999999998,-0.04685680833929308
-4.8525,-0.045834844234849091
-4.8512500000000003,-0.045834844234849091
-4.8499999999999996,-0.047538117742257593
-4.8487499999999999,-0.051625974160031673
-4.8475000000000001,-0.05571383057780762
-4.8462500000000004,-0.057076449383732311
-4.8449999999999998,-0.056395139980770274
-4.84375,-0.054691866473363632
-4.8425000000000002,-0.052647938264475662
-4.8412499999999996,-0.050604010055586915
-4.8399999999999999,-0.048900736548181049
-4.8387500000000001,-0.046516153637811745
-4.8375000000000004,-0.043109606623000007
-4.8362499999999997,-0.039362404906703848
-4.835,-0.037659131399297205
-4.8337500000000002,-0.037999786100778532
-4.8324999999999996,-0.039362404906704625
-4.8312499999999998,-0.04106567841411049
-4.8300000000000001,-0.043450261324479794
-4.8287500000000003,-0.045834844234848009
-4.8274999999999997,-0.047538117742255886
-4.8262499999999999,-0.047878772443737061
-4.8250000000000002,-0.047538117742255734
-4.8237500000000004,-0.047197463040774559
-4.8224999999999998,-0.047878772443737061
-4.82125,-0.049582045951143704
-4.8200000000000003,-0.051966628861513001
-4.8187499999999996,-0.054691866473364874
-4.8174999999999999,-0.057417104085214263
-4.8162500000000001,-0.05980168699558356
-4.8150000000000004,-0.060823651100027083
-4.8137499999999998,-0.060482996398546214
-4.8125,-0.059120377592620905
-4.8112500000000002,-0.056735794682251602
-4.8099999999999996,-0.052647938264473025
-4.8087499999999999,-0.04685680833929308
-4.8075000000000001,-0.039703059608185175
-4.8062500000000004,-0.03323062028004288
-4.8049999999999997,-0.028802109160782671
-4.80375,-0.025395562145969386
-4.8025000000000002,-0.024373598041525391
-4.8012499999999996,-0.02369228863856258
-4.7999999999999998,-0.023351633937081409
-4.7987500000000001,-0.023010979235600082
-4.7975000000000003,-0.022670324534118911
-4.7962499999999997,-0.022670324534118911
-4.7949999999999999,-0.023010979235600082
-4.7937500000000002,-0.022670324534118755
-4.7925000000000004,-0.021648360429675238
-4.7912499999999998,-0.020285741623749451
-4.79,-0.019604432220786797
-4.7887500000000003,-0.019263777519305469
-4.7874999999999996,-0.019263777519305313
-4.7862499999999999,-0.018923122817824142
-4.7850000000000001,-0.018241813414861488
-4.7837500000000004,-0.016538539907455612
-4.7824999999999998,-0.01517592110152953
-4.78125,-0.014153956997085534
-4.7800000000000002,-0.012791338191160226
-4.7787499999999996,-0.013131992892642483
-4.7774999999999999,-0.01517592110152953
-4.7762500000000001,-0.019604432220786797
-4.7750000000000004,-0.024373598041523222
-4.7737499999999997,-0.028802109160782671
-4.7725,-0.031527346772633288
-4.7712500000000002,-0.033230620280039938
-4.7699999999999996,-0.034252584384484072
-4.7687499999999998,-0.034593239085965247
-4.7675000000000001,-0.034933893787446574
-4.7662500000000003,-0.03561520319040893
-4.7649999999999997,-0.036977821996335793
-4.7637499999999999,-0.039703059608185175
-4.7625000000000002,-0.042768951921517133
-4.7612500000000004,-0.045834844234847696
-4.7599999999999998,-0.047538117742255734
-4.75875,-0.04685680833929308
-4.7575000000000003,-0.044472225428923776
-4.7562499999999996,-0.041065678414109096
-4.7549999999999999,-0.037999786100778532
-4.7537500000000001,-0.035615203190409242
-4.7525000000000004,-0.03391192968300337
-4.7512499999999998,-0.032208656175595957
-4.75,-0.030846037369670634
-4.7487500000000002,-0.029483418563745326
-4.7474999999999996,-0.029142763862264307
-4.7462499999999999,-0.029824073265226653
-4.7450000000000001,-0.031527346772633288
-4.7437500000000004,-0.032208656175595644
-4.7424999999999997,-0.032889965578558611
-4.74125,-0.033230620280039938
-4.7400000000000002,-0.033571274981521265
-4.7387499999999996,-0.034933893787447351
-4.7374999999999998,-0.036637167294853223
-4.7362500000000001,-0.039703059608185175
-4.7350000000000003,-0.042087642518553396
-4.7337499999999997,-0.043450261324480259
-4.7324999999999999,-0.044472225428923776
-4.7312500000000002,-0.045153534831886437
-4.7300000000000004,-0.045153534831886437
-4.7287499999999998,-0.045494189533367764
-4.7275,-0.047538117742255734
-4.7262500000000003,-0.052307283562994335
-4.7249999999999996,-0.057757758786698067
-4.7237499999999999,-0.063208234010396852
-4.7225000000000001,-0.066955435726691465
-4.7212500000000004,-0.070021328040022035
-4.7199999999999998,-0.073087220353355367
-4.71875,-0.076493767368168653
-4.7175000000000002,-0.079559659681500611
-4.7162499999999996,-0.080922278487425614
-4.7149999999999999,-0.080240969084463265
-4.7137500000000001,-0.079900314382981938
-4.7125000000000004,-0.081944242591868985
-4.7112499999999997,-0.087394717815571163
-4.71,-0.092504538337791098
-4.7087500000000002,-0.095229775949641729
-4.7074999999999996,-0.095570430651122432
-4.7062499999999998,-0.094207811845197734
-4.7050000000000001,-0.093185847740753752
-4.7037500000000003,-0.093867157143716101
-4.7024999999999997,-0.094889121248160554
-4.7012499999999999,-0.095229775949641729
-4.7000000000000002,-0.095229775949641729
-4.6987500000000004,-0.094889121248160554
-4.6974999999999998,-0.093185847740753752
-4.69625,-0.090119955427421794
-4.6950000000000003,-0.086713408412608509
-4.6937499999999996,-0.082625551994830251
-4.6924999999999999,-0.077515731472612648
-4.6912500000000001,-0.07274656565187404
