#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A0F
#Date Time: 2017-10-06 13:32:23.108

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10.000000000000007,-11.309531399117523,69.14364504655417
10.591860761309459,-10.871437656319058,68.042768270283702
11.218751438696691,-10.440196695706163,66.901645126330479
11.882745315441516,-10.016990560334946,65.707542092942077
12.586038384325866,-9.601021635298931,64.465578993738546
13.330956610327545,-9.1944687789711708,63.179677227426325
14.119963623164718,-8.7959941837469344,61.843488730612847
14.955668865131519,-8.4069416721535646,60.462222074742591
15.840836221172362,-8.0277896173219396,59.033048913401828
16.778393159736503,-7.6591383224833045,57.563486459131319
17.771440414643592,-7.3009916091235834,56.049665505616204
18.82326223998124,-6.9546293237043955,54.501704280086308
19.93733727194947,-6.6205329014344114,52.914422647407321
21.117350033575399,-6.2993456375634285,51.298365623770898
22.36720312034636,-5.9907722205254279,49.649657552169764
23.69103010706349,-5.6961027202988816,47.980864805038074
25.093209218600659,-5.4153233640034761,46.290399764108642
26.578377809782488,-5.1474192084625825,44.584960329528947
28.151447702269234,-4.8945926644040805,42.870283924703088
29.817621429172057,-4.6547204647933889,41.147496225304813
31.582409441122735,-4.4292382850653587,39.423401437009204
33.451648330703634,-4.2172778996548717,37.705251791642205
35.431520135510254,-4.0193408048511605,35.990058065228176
37.528572783685597,-3.8344732284086156,34.292821259410616
39.749741749546523,-3.6627846456961697,32.606711087427101
42.102372990920585,-3.5031906439410143,30.94332550723307
44.594247244054657,-3.3555570752119697,29.302985290347038
47.233605756443453,-3.2200297699136082,27.68513968287435
50.029177542683257,-3.094980613030478,26.09633675274118
52.990208253493073,-2.9801984542128417,24.535314988553594
56.126490753378825,-2.8756229170141774,23.004729693798893
59.448397508071089,-2.780215791422274,21.50748957390482
62.96691488884646,-2.693582810868413,20.039115202988881
66.693679507188335,-2.6143210024613368,18.601485051099871
70.641016699953624,-2.5431240624472542,17.197050222741723
74.821981292324438,-2.4786848825496119,15.820793302450966
79.250400773360084,-2.4207852337357263,14.475807196394584
83.940921026939904,-2.3688814329194554,13.155422279807055
88.909054769342021,-2.3221360869426624,11.863103597528507
94.171232853650551,-2.2810656128083857,10.593688842089904
99.744858610671557,-2.2445192049234692,9.3478109925725477
105.6483654060731,-2.2123271589430527,8.1185230755972668
111.90127760410684,-2.1843821832341765,6.9069664970184377
118.52427513953327,-2.159867756987722,5.711503974609764
125.53926191130689,-2.1394604668261672,4.5273107159605281
132.96943822421187,-2.1221119303759401,3.3512978024795643
140.83937751803907,-2.1080480750903874,2.1810188757116009
149.1751076380566,-2.0972052164435047,1.0149592209684357
158.00419691556422,-2.0888906986929885,-0.14973639421108942
167.35584534321779,-2.0833318931249738,-1.3194453516537408
177.26098114665979,-2.080721520980588,-2.4933887412195475
187.75236307185199,-2.0811775214325481,-3.6776614506000271
198.86468872638724,-2.0843138829577228,-4.8718666066043923
210.63470933310367,-2.0895770120040362,-6.085432991457246
223.10135127551243,-2.0985578548168951,-7.3174405202467696
236.30584483702111,-2.1100567184587287,-8.5713350958009755
250.29186055973233,-2.1245190699047325,-9.8524122133296999
265.1056536737762,-2.1422376407219228,-11.16160587036137
280.79621707485575,-2.163838032004497,-12.504483643614435
297.41544335592982,-2.1889984829925284,-13.884418337971827
315.01829642891232,-2.218130737349719,-15.304336750018411
333.66299330399414,-2.2513537540708071,-16.766998582176171
353.41119662776333,-2.2894510259084564,-18.276960574840245
