#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A12
#Date Time: 2017-11-03 13:29:35.919

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,0.010089853726446952,10.116286185089937,166.21932245290085
11.233240329780266,0.010358191632765298,10.110568110782218,165.14161697800597
12.618568830660211,0.010142015327072611,10.102048264448879,164.00055884141452
14.174741629268048,0.0098171817240099296,10.093448177286366,162.80273352834215
15.922827933410938,0.009955306170123978,10.083643883842605,161.5339356326046
17.886495290574352,0.0103829812656851,10.070679767073617,160.18940762376161
20.092330025650458,0.010286462499492017,10.059742861903683,158.76203121124828
22.570197196339215,0.0099904345112156335,10.046822588319785,157.23918783783171
25.353644939701113,0.010263336414239549,10.030735219315359,155.62139223611925
28.480358684358048,0.010343349109813438,10.012233403668629,153.91177932154878
31.992671377973846,0.010298057546531649,9.9937194694308786,152.07706851525415
35.938136638046252,0.010049745183967219,9.9716663977943707,150.12655265542477
40.370172585965584,0.010326548115709639,9.9457594601734893,148.03858183053319
45.348785081285826,0.010127693282499479,9.9170199057006556,145.80107054299049
50.941380148163859,0.010137998905025668,9.8845150955021275,143.40845632032915
57.223676593502205,0.010498132496094633,9.8461870903684137,140.82054376446109
64.28073117284319,0.01014548795103485,9.801794751866062,138.07544200806925
72.208090183854566,0.010160362654585123,9.752220058326257,135.07920335375769
81.113083078968714,0.010294626676999284,9.6937514861838725,131.8497340269889
91.116275611548872,0.010044016585971982,9.6238024169226524,128.35138061907216
102.35310218990257,0.009978417269656023,9.5410766625032686,124.53457529460579
114.97569953977356,0.010242007447191935,9.4396836305630636,120.39110170202669
129.15496650148842,0.010557646095439171,9.3130289208091828,115.84601746315531
145.08287784959387,0.010720943185490299,9.1514987320689549,110.85349562215572
162.97508346206433,0.010787718401911991,8.9254884085304038,105.465143724283
183.07382802953697,0.01063463983824986,8.5980825319444953,99.786037639039876
205.65123083486515,0.010854798502606785,7.9754040798483441,95.634225837748573
231.01297000831582,0.010472527297012769,7.0020756951713352,95.095431828580431
259.50242113997376,0.011299873687808364,6.0234223727085068,94.653773101764784
291.50530628251761,0.011145475867354123,5.0425487625989431,94.261467290075416
327.45491628777251,0.01055922953343843,4.061893492740265,93.908233356344681
367.83797718286343,0.010678621903034579,3.0796766933405961,93.592706931757107
413.20124001153425,0.010380102930569228,2.0989515267332899,93.299453683130693
464.15888336127722,0.010272554482180006,1.1173866008927777,93.044623531461824
521.40082879996839,0.010608356215225953,0.13433870998097744,92.815672988542119
585.70208180566726,0.01009748187718414,-0.85186044447093501,92.62132462369982
657.93322465756819,0.010393035523215313,-1.8350082940861243,92.430163920993536
739.0722033525775,0.0096423933643909176,-2.8210608894010121,92.275068375447987
830.21756813197521,0.010147579779873246,-3.8049276140290762,92.117477126141353
932.60334688321996,0.0090720777041922371,-4.7910254389237794,91.981944990452419
1047.6157527896642,0.0087491213293798432,-5.7785004002684035,91.857694040553881
1176.8119524349993,0.0088768191035097539,-6.765487178905575,91.750998695358533
1321.9411484660302,0.0082129233115014241,-7.7547538593831513,91.654511504410877
1484.9682622544651,0.0081210777745434858,-8.7432354200717235,91.559609772963199
1668.1005372000593,0.0070146714257565759,-9.7336301112149997,91.474853527855203
1873.817422860385,0.0066076633665801514,-10.723151805050261,91.413372420573864
2104.9041445120197,0.0076074759900533126,-11.713273706823507,91.337816408403114
2364.4894126454069,0.0054332649906794969,-12.707074994460278,91.273350186680887
2656.0877829466867,0.0038449206169660047,-13.697897175296678,91.21069775127377
2983.6472402833406,0.0031627490944114447,-14.692640108022449,91.167540923420802
3351.6026509388444,0.0021553897002904842,-15.687127033543668,91.117778249832668
3764.9358067924677,-0.00015530035804857482,-16.684408609074101,91.082590657407991
4229.2428743894989,-0.0023025171016736196,-17.674202988617196,91.031918000212357
4750.8101621027981,-0.0051239676541075738,-18.661876908174968,90.968660274016756
5336.6992312063066,-0.0050435722928361282,-19.660170954841291,90.943940592063882
5994.8425031894085,-0.0053919593583283635,-20.653914904490385,90.876468188466291
6734.1506577508208,-0.017001920906890868,-21.643392855465336,90.832406926547321
7564.6332755462909,-0.0090060192254497202,-22.650973888477989,90.824974418678948
8497.5343590864395,-0.0098449942807917017,-23.636521538493795,90.755521671220663
9545.4845666183373,-0.015750125311939457,-24.631194387712405,90.727313334065471
10722.672220103232,-0.011260009010910682,-25.612562867188551,90.633732563166475
12045.035402587819,-0.0098031740777709108,-26.615287879267918,90.630536363707392
13530.477745798074,-0.013392186990649826,-27.612922392097946,90.502218335839132
15199.110829529331,-0.0095423678371502046,-28.614959086938221,90.530185827484786
17073.526474706923,-0.0079095655471834239,-29.596468753094982,90.476086970919383
19179.102616724886,-0.0076177591666685921,-30.55621698985712,90.397151847929081
21544.346900318822,-0.0083446838716171486,-31.587253847106311,90.299195779545016
24201.282647943834,-0.0035398498294768365,-32.517638739261876,90.264199171550231
27185.882427329401,-0.0018258961520786999,-33.556890988903483,90.095504678566201
30538.555088334171,-0.014944761812545183,-34.536231991005437,89.78748193963466
34304.69286314919,0.0040727217224155957,-35.484656533451663,89.907427050444767
38535.285937105269,0.0060524074740860032,-36.425093719932946,89.867823772473344
43287.612810830593,0.010254330201751,-37.370901258104546,89.65573323363877
48626.015800653528,0.016610976765642091,-38.345573818497989,89.294574298609504
54622.772176843428,0.017907796914583052,-39.276064457486633,89.312350025673055
61359.072734131725,0.024315730422707259,-40.037889834343574,89.353117388221563
68926.121043496954,0.030115144143832158,-40.939982166992664,89.416481239296928
